question,answer
" выберите слово, сходное по значению со словом occupation. ",profession.
" выберите слово, близкое по значению: believe. ",suppose.
 выберите правильное слово this is … way to school. ,the
 выберите правильный вариант  притяжательной формы существительного в единственном числе. ,student’s opportunity.
 выберите правильный вариант сказуемого. there … something in the box. ,is.
" выберите слово, в котором выделенная буква читается отлично от других. ",geography  
" дополните пословицу: east or west, … is best. ",home.
 выберите правильный вариант перевода слова: неправда ,untruth.
 образуйте прилагательное при помощи суффикса: use ,less
 выберите верное местоимение. pete says apple are… favorite fruit. ,his. 
 выберите верное местоимение. … books were read last year. ,those. 
" дополните предложение, вставив нужное местоимение: did you meet ... on your way home?  ",anybody
 выберите правильный ответ: is tom going to play on the bridge? ,"yes, he is."
" определите, чем является подчёркнутое слово: the girl washing the floor is my sister. ",причастием
 “to get in” означает:   ,входить
 форма множественного числа отличается от остальных в слове: ,tooth.
 выберите правильную форму глагола “to be”: my brother and i … born in almaty. ,were
 выберите правильный вариант сказуемого: we … institute every friday. ,attend.
 выберите правильный вариант: we were told that the train … five minutes later. ,would arrive
 выберите правильную форму глагола в страдательном залоге: he (to send) for the doctor. ,was sent.
" закончите предложение : when i was younger, i … play tennis quite well. ",used to
 образуйте форму gerund от глагола have: ,having.
 образуйте форму perfect infinitive от глагола tell: ,to have told.
" прочтите текст и ответьте на вопрос после текста:  a traveller who had been riding in rain and was wet through, arrived at a small hotel in the country. there was only one fireplace in the hall and a lot of people around it. the traveller thought of a plan how to get warm. he asked the hotel owner to give some fish to his horse. the hotel owner was surprised but the traveller insisted and the hotel owner did as he was asked. all the people rushed out to see the horse eat fish. the traveller had the fireplace all to himself and felt comfortable. when the hotel owner had returned he said, ""i was sure horses do not eat fish"". - ""then why did you give it to my horse?"".  why did the traveller ask the hotel owner to feed his horse with fish?       ",because he wanted to get warm
" дополните предложение: please, ... another dress. this one is too big for you. ",try on
 выразите одним словом: you send them to your relatives on holidays. ,postcards.
 найдите правильный вариант глагола. professor asher … another lecture at the same time next week.  ,will be giving
" найдите правильный вариант глагола. all the people we … came, and some that we hadn’t invited. ",had invited
 вставьте необходимый модальный глагол: weve got plenty of time. we ... hurry. ,needn’t
" выберите подходящий русский эквивалент к слову “freshman”  in american english, freshman means … . ",первокурсник
 выберите антоним слова. noise. ,silence.
" выберите правильное слово pass me … salt, please. ",the
 существительное во множественном числе. ,wolves
 выберите правильный вариант предложения в past simple tense. ,ahmed phoned me yesterday.
 выберите подходящий английский эквивалент. на стене напротив двери весит большая картина. ,there is a large picture on the wall opposite the door.
" выберите слово, в котором выделенная буква читается отлично от других слов: ",bush. 
" образуйте прилагательное с противоположным значением от слова ""possible"": ",impossible.
 выберите верное местоимение. it’s nice that becky brought her textbook with … . ,her.
 выберите верное местоимение. … is a large house. ,this.
 выберите верное местоимение: is there … apples in the basket? ,any
 выберите правильный ответ: are you going to invite her to the party? ,"yes, i am."
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: to write ,being written
 определите предложение с participle i: ,a young lady buying flowers is my aunt.
" выберите фразовый глагол со значением «продолжать, идти дальше»: ",to go on
 найдите предложение с фразовым глаголом:  ,"come in, please. "
 подберите соответствующий перевод: the book is less interesting than the film. ,"книга менее интересная, чем фильм."
 дополните предложение: not to catch the train means to ... it. ,miss
 к теме travelling относится слово: ,excursion.
" выберите слово с суффиксом, обозначающим состояние или качество: ",freshness. 
